,name,height,weight,Unnamed: 0,car_model,year_of_manufacture,price,fuel
96,,,,86.0,corolla altis,2013.0,8208.96,Petrol
97,,,,87.0,corolla,2004.0,2238.81,Petrol
98,,,,88.0,corolla altis,2010.0,7835.82,Petrol
99,,,,89.0,fortuner,2012.0,21641.79,Diesel
100,alex,1.67,51.25,,,,,
101,ajay,1.82,61.91,,,,,
102,alice,1.76,69.41,,,,,
103,ravi,1.73,64.56,,,,,
104,joe,1.72,65.45,,,,,
105,alex,0.04,23.25,0.0,,,,
106,ajay,0.05,28.08,1.0,,,,
107,alice,0.04,31.48,2.0,,,,
108,ravi,0.04,29.28,3.0,,,,
109,joe,0.04,29.69,4.0,,,,
110,alex,0.04,23.25,5.0,,,,
111,ajay,0.05,28.08,6.0,,,,
112,alice,0.04,31.48,7.0,,,,
113,ravi,0.04,29.28,8.0,,,,
114,joe,0.04,29.69,9.0,,,,
115,alex,0.04,23.25,10.0,,,,
116,ajay,0.05,28.08,11.0,,,,
117,alice,0.04,31.48,12.0,,,,
118,ravi,0.04,29.28,13.0,,,,
119,joe,0.04,29.69,14.0,,,,
120,jack,0.04,25.37,15.0,,,,
121,tom,0.04,29.11,16.0,,,,
122,tracy,0.05,28.08,17.0,,,,
123,john,0.04,23.12,18.0,,,,
124,jack,0.04,25.37,19.0,,,,
125,tom,0.04,29.11,20.0,,,,
126,tracy,0.05,28.08,21.0,,,,
127,john,0.04,23.12,22.0,,,,
128,jack,0.04,25.37,23.0,,,,
129,tom,0.04,29.11,24.0,,,,
130,tracy,0.05,28.08,25.0,,,,
131,john,0.04,23.12,26.0,,,,
132,simon,0.04,23.12,27.0,,,,
133,jacob,0.04,24.83,28.0,,,,
134,cindy,0.04,26.22,29.0,,,,
135,ivan,0.04,23.48,30.0,,,,
136,simon,0.04,23.12,31.0,,,,
137,jacob,0.04,24.83,32.0,,,,
138,cindy,0.04,26.22,33.0,,,,
139,ivan,0.04,23.48,34.0,,,,
140,simon,0.04,23.12,35.0,,,,
141,jacob,0.04,24.83,36.0,,,,
142,cindy,0.04,26.22,37.0,,,,
143,ivan,0.04,23.48,38.0,,,,
144,jack,1.74,55.93,,,,,
145,tom,1.77,64.18,,,,,
146,tracy,1.78,61.9,,,,,
147,john,1.72,50.97,,,,,
148,jack,1.74,55.93,,,,,
149,tom,1.77,64.18,,,,,
150,tracy,1.78,61.9,,,,,
151,john,1.72,50.97,,,,,
152,jack,1.74,55.93,,,,,
153,tom,1.77,64.18,,,,,
154,tracy,1.78,61.9,,,,,
155,john,1.72,50.97,,,,,
156,simon,1.72,50.97,,,,,
157,jacob,1.7,54.73,,,,,
158,cindy,1.69,57.81,,,,,
159,ivan,1.72,51.77,,,,,
160,simon,1.72,50.97,,,,,
161,jacob,1.7,54.73,,,,,
162,cindy,1.69,57.81,,,,,
163,ivan,1.72,51.77,,,,,
164,simon,1.72,50.97,,,,,
165,jacob,1.7,54.73,,,,,
166,cindy,1.69,57.81,,,,,
167,ivan,1.72,51.77,,,,,
